event_time;action;actor;target_user;result;system;source
2025-01-08 18:35:56;DISABLE_ACCOUNT;tech_ot;tech_ot;OK;MAIL-01;PAM
2025-01-09 19:49:24;CREATE_ACCOUNT;tech_ot;tech_ot;FAIL;DC-01;AD
2025-01-08 10:11:31;GROUP_REMOVE;svc_backup;smirnov_iv;FAIL;DC-01;AD
2025-01-09 18:32:01;PASSWORD_RESET;sokolov_pp;svc_backup;OK;FS-01;IAM
2025-01-08 15:47:47;DISABLE_ACCOUNT;smirnov_iv;smirnov_iv;FAIL;FS-01;AD
2025-01-08 19:39:50;LOGIN_SUCCESS;sokolov_pp;admin_it;OK;APP-ERP-01;PAM
2025-01-09 10:23:38;LOGIN_SUCCESS;svc_backup;petrova_ns;OK;APP-ERP-01;PAM
2025-01-10 01:51:01;ACCOUNT_LOCK;admin_it;kuznetsova_oa;FAIL;JUMP-01;PAM
2025-01-09 15:39:01;DISABLE_ACCOUNT;petrova_ns;smirnov_iv;FAIL;APP-ERP-01;AD
2025-01-09 19:20:23;LOGIN_SUCCESS;svc_backup;tech_ot;FAIL;DC-01;AD
2025-01-08 16:27:19;ACCOUNT_LOCK;tech_ot;svc_backup;OK;DC-01;IAM
2025-01-08 08:04:31;GROUP_ADD;smirnov_iv;svc_backup;FAIL;DC-01;PAM
2025-01-08 13:46:34;DISABLE_ACCOUNT;smirnov_iv;smirnov_iv;OK;DC-01;PAM
2025-01-10 04:24:35;GROUP_REMOVE;svc_backup;kuznetsova_oa;OK;DC-01;AD
2025-01-10 03:36:23;PASSWORD_RESET;smirnov_iv;tech_ot;FAIL;MAIL-01;AD
2025-01-08 11:51:54;GROUP_REMOVE;kuznetsova_oa;admin_it;OK;FS-01;PAM
2025-01-08 21:31:17;GROUP_REMOVE;tech_ot;petrova_ns;OK;MAIL-01;IAM
2025-01-09 19:05:34;LOGIN_FAIL;petrova_ns;admin_it;OK;FS-01;IAM
2025-01-09 19:31:45;GROUP_REMOVE;tech_ot;svc_backup;OK;DC-01;IAM
2025-01-09 04:35:14;LOGIN_FAIL;smirnov_iv;petrova_ns;FAIL;APP-ERP-01;IAM
2025-01-09 08:21:18;PASSWORD_RESET;sokolov_pp;smirnov_iv;OK;JUMP-01;IAM
2025-01-08 20:00:19;DISABLE_ACCOUNT;tech_ot;svc_backup;FAIL;APP-ERP-01;PAM
2025-01-09 09:22:04;LOGIN_FAIL;kuznetsova_oa;smirnov_iv;OK;FS-01;IAM
2025-01-08 13:28:01;LOGIN_SUCCESS;ivanov_aa;svc_backup;OK;MAIL-01;AD
2025-01-08 16:35:02;DISABLE_ACCOUNT;kuznetsova_oa;ivanov_aa;FAIL;APP-ERP-01;AD
2025-01-09 15:59:19;LOGIN_SUCCESS;admin_it;svc_backup;FAIL;APP-ERP-01;PAM
2025-01-09 08:21:15;GROUP_ADD;smirnov_iv;petrova_ns;FAIL;APP-ERP-01;PAM
2025-01-09 04:40:06;DISABLE_ACCOUNT;svc_backup;petrova_ns;FAIL;APP-ERP-01;AD
2025-01-09 12:36:13;DISABLE_ACCOUNT;tech_ot;sokolov_pp;OK;JUMP-01;AD
2025-01-08 14:58:32;CREATE_ACCOUNT;svc_backup;tech_ot;FAIL;FS-01;IAM
2025-01-08 16:05:48;ACCOUNT_LOCK;tech_ot;tech_ot;OK;DC-01;PAM
